retailer,category,platform,url,title,overall,google_seo,ai_visibility,content,keywords,images,schema,has_product_jsonld,issue_count,status
Amazon,Electronics,amazon,https://www.amazon.com/Apple-AirPods-Pro-2nd-Generation/dp/B0CHWRXH8B,Amazon.com,69,72,80,80,0,88,95,True,9,ok
Amazon,Electronics,amazon,https://www.amazon.com/Kindle-Paperwhite-11th-generation/dp/B08KTZ8249,Amazon.com,69,72,76,76,12,88,93,True,11,ok
Amazon,Home,amazon,https://www.amazon.com/Instant-Pot-Duo-Evo-Plus/dp/B07W55DDFB,Amazon.com,49,72,50,71,0,20,71,True,13,ok
Amazon,Apparel,amazon,https://www.amazon.com/Nike-Mens-Dri-FIT-Training/dp/B0B3X8XQZQ,Amazon.com,77,78,58,71,100,75,77,True,10,ok
Amazon,Toys,amazon,https://www.amazon.com/LEGO-Icons-Bouquet-Building-Set/dp/B0CGY4RV8F,Amazon.com,49,72,50,71,0,20,71,True,13,ok
Amazon,Electronics,amazon,https://www.amazon.com/Samsung-65-Inch-Class-QLED/dp/B0CV6421BW,Amazon.com,49,72,50,71,0,20,71,True,13,ok
Best Buy,Electronics,,https://www.bestbuy.com/site/apple-airpods-pro-2nd-generation/6447382.p,,,,,,,,,,,error
Best Buy,Electronics,,https://www.bestbuy.com/site/sony-wh-1000xm5-wireless-noise-canceling-over-the-ear-headphones/6505727.p,,,,,,,,,,,error
Best Buy,Electronics,,https://www.bestbuy.com/site/lg-65-class-c3-series-oled-4k-uhd-smart-webos-tv/6534567.p,,,,,,,,,,,error
Best Buy,Home,,https://www.bestbuy.com/site/dyson-v15-detect-absolute-cordless-vacuum/6456789.p,,,,,,,,,,,error
Etsy,Accessories,etsy,https://www.etsy.com/listing/772989228/personalized-leather-wallet-for-men,etsy.com,27,38,35,45,0,20,15,False,22,ok
Etsy,Art,etsy,https://www.etsy.com/listing/1289624124/custom-pet-portrait-digital,etsy.com,27,38,35,45,0,20,15,False,22,ok
eBay,Electronics,ebay,https://www.ebay.com/itm/166964928012,Error Page | eBay,25,32,35,45,0,20,15,False,22,ok
eBay,Collectibles,ebay,https://www.ebay.com/itm/256123456789,Error Page | eBay,25,32,35,45,0,20,15,False,22,ok
Shopify DTC,Apparel,shopify,https://www.allbirds.com/products/mens-tree-runners,"Allbirds: Sustainable Men’s Shoes, Wear-All-Day Comfort",79,88,81,82,38,88,95,True,10,ok
Shopify DTC,Apparel,shopify,https://www.gymshark.com/products/gymshark-crest-joggers-black-ss22,Gymshark Crest Joggers - Black | Gymshark,75,92,81,82,62,43,95,True,12,ok
Shopify DTC,Home,shopify,https://www.brooklinen.com/products/classic-core-sheet-set,Classic Percale Sheet Set | Cooling Cotton Sheets | Brooklinen,80,84,81,82,50,88,95,True,7,ok
Shopify DTC,Beauty,shopify,https://colourpop.com/products/lippie-stix,ColourPop® Cosmetics,71,80,62,80,25,88,95,True,12,ok
Shopify DTC,Beauty,shopify,https://www.glossier.com/products/boy-brow,Boy Brow | Tinted Brow Gel – Glossier,77,90,80,80,25,88,95,True,10,ok
Shopify DTC,Apparel,shopify,https://www.rothys.com/products/the-point,The Point,79,58,64,80,100,88,95,True,17,ok
